"","jeolla","seoul"
"432","난 고등학교 때가 더 다이어트 때문에 스트레스 받았어.","난 고등학교 때가 더 다이어트 때문에 스트레스 받았어."
"433","아 근데 스무 살 되고 나서 약간 좀 지금 느끼는 건데 약간 너 말 듣고 느끼는 건데","아 근데 스무 살 되고 나서 약간 좀 지금 느끼는 건데 약간 너 말 듣고 느끼는 건데"
"434","약간 좀 학교를 안 가서 더 그런 것도 있는 것 같긴 해.","약간 좀 학교를 안 가서 더 그런 것도 있는 것 같긴 해."
"435","우리가 만약에 학교 갔으면 진짜 엄청 더 그랬을 거 같아.","우리가 만약에 학교 갔으면 진짜 엄청 더 그랬을 거 같아."
"436","맞아.","맞아."
"437","우리 연애랑 결혼에 대해서 얘기해보자.","우리 연애랑 결혼에 대해서 얘기해보자."
"438","근데 나는 지금 연애를 하고 있잖아.","근데 나는 지금 연애를 하고 있잖아."
"439","근데 연애를 하믄서 느낀 거는 지금 그래도 꽤 길게 연애를 하고 있는데","근데 연애를 하면서 느낀 거는 지금 그래도 꽤 길게 연애를 하고 있는데"
"440","이게 한 번씩 그 타임이 와 아 나 왜 얘랑 사귀고 있지 아 그냥 헤어질까?","이게 한 번씩 그 타임이 와 아 나 왜 얘랑 사귀고 있지 아 그냥 헤어질까?"
"441","그거를 좀 잘 넘겨야 연애가 좀 되게 길게 지속될 수 있는 거 같애.","그거를 좀 잘 넘겨야 연애가 좀 되게 길게 지속될 수 있는 거 같애."
"442","아 진짜 나는 연애를 해보진 않았지만 연애를 하면서 나는 오래 사귀는 애들을 보면서","아 진짜 나는 연애를 해보진 않았지만 연애를 하면서 나는 오래 사귀는 애들을 보면서"
"443","어 어떻게 저렇게 오래 사귀지 안 질리나?","어 어떻게 저렇게 오래 사귀지 안 질리나?"
"444","난 개인적으로 난 사람을 보면 아니 야 난 약간 좀 질릴 것 같거든?","난 개인적으로 난 사람을 보면 아니 야 난 약간 좀 질릴 것 같거든?"
"445","나는 하루만에 진짜 좋아하던 사람도 그냥 못생긴 모습 보면 정떨어지고 그런단 말야","나는 하루만에 진짜 좋아하던 사람도 그냥 못생긴 모습 보면 정떨어지고 그런단 말야"
"446","그믄 어떻게 저렇게 좋아하지 약간 좀 그런 생각이 들 때도 있어.","그러면 어떻게 저렇게 좋아하지 약간 좀 그런 생각이 들 때도 있어."
"447","근데 솔직히 말해서 설레는 건 한 몇 개월 가고 그 계속 설레면 심장에도 안 좋고","근데 솔직히 말해서 설레는 건 한 몇 개월 가고 그 계속 설레면 심장에도 안 좋고"
"448","약간 설레다가 그다음부터 그냥 계속 보는뭐 코드도 맞고 말도 잘 맞고 정이 맞으니까 하는 거지.","약간 설레다가 그다음부터 그냥 계속 보는뭐 코드도 맞고 말도 잘 맞고 정이 맞으니까 하는 거지."
"449","근데 너 막 어떤 사람이랑 이런 연애하고 싶다 그런 말 엄청 하잖아?","근데 너 막 어떤 사람이랑 이런 연애하고 싶다 그런 말 엄청 하잖아?"
"450","아 나 같은 경우에는 뭐 약간 좀 눈이 높은 경우도 있는데","아 나 같은 경우에는 뭐 약간 좀 눈이 높은 경우도 있는데"
"451","약간 좀 영화 같은 걸 좀 많이 봐가지고 인제 나는 좀 약간 연애를 운명처럼 받아들였는데","약간 좀 영화 같은 걸 좀 많이 봐가지고 이제 나는 좀 약간 연애를 운명처럼 받아들였는데"
"452","요즘에는 생각이 진짜 많이 바뀌었어.","요즘에는 생각이 진짜 많이 바뀌었어."
"453","아 그냥 보면서 나 이러다가 진짜 평생 연애 못할 수도 있겠구나 약간 이런 생각 했어.","아 그냥 보면서 나 이러다가 진짜 평생 연애 못할 수도 있겠구나 약간 이런 생각 했어."
"454","근데 운명적인 사랑 그딴 거 다 필요 없고 {laughing} 그냥 어느 정도 맞기만 하면은 다 하는 게 연애긴 하지.","근데 운명적인 사랑 그딴 거 다 필요 없고 {laughing} 그냥 어느 정도 맞기만 하면은 다 하는 게 연애긴 하지."
"455","근데 난 그게 가벼운 연애냐 아니면 좀 길게 끌고 가는 연애냐 그게 문젠 거지.","근데 난 그게 가벼운 연애냐 아니면 좀 길게 끌고 가는 연애냐 그게 문젠 거지."
"456","맞어 맞어 나도 -사- 사실 막 연애를 보면서 진짜 완전 불타오르는 사랑 그런 거 해가지고","맞어 맞어 나도 -사- 사실 막 연애를 보면서 진짜 완전 불타오르는 사랑 그런 거 해가지고"
"457","약간 좀 맨날 싸우고 약간 그런 연애를 지향했다 지향하기도 했었거든?","약간 좀 맨날 싸우고 약간 그런 연애를 지향했다 지향하기도 했었거든?"
"458","근데 요즘에는 진짜 생각이 많이 바뀐 게","근데 요즘에는 진짜 생각이 많이 바뀐 게"
"459","아 연애 저렇게 연애하면 진짜 -죽어나- 다 죽어나가겠구나 약간 이 생각 했어.","아 연애 저렇게 연애하면 진짜 -죽어나- 다 죽어나가겠구나 약간 이 생각 했어."
"460","막 서로 집착하고 막 불같은 사랑하고 막 이런 거?","막 서로 집착하고 막 불같은 사랑하고 막 이런 거?"
"461","응.","응."
"462","그런 거 진짜 아 근데 그런 거는 왜 하는 거야 그런 연애는 할 필요가 없어.","그런 거 진짜 아 근데 그런 거는 왜 하는 거야 그런 연애는 할 필요가 없어."
"463","그거 진짜 드라마에 나오는 연애지 피곤해 그거 하지 마 진짜로","그거 진짜 드라마에 나오는 연애지 피곤해 그거 하지 마 진짜로"
"464","아 맞아 근데 요즘 요즘에는 진짜 생각이 많이 바뀐 게","아 맞아 근데 요즘 요즘에는 진짜 생각이 많이 바뀐 게"
"465","사실 옛날에는 아 나 대학교 가면은 진짜 막 키 백팔십오 센티미터에다","사실 옛날에는 아 나 대학교 가면은 진짜 막 키 백팔십오 센티미터에다"
"466","잘생긴 남자랑 연애를 해야지 약간 이 생각을 했었는데 요즘에 생각이 바뀐 게","잘생긴 남자랑 연애를 해야지 약간 이 생각을 했었는데 요즘에 생각이 바뀐 게"
"467","아 연애 굳이 연애를 해야 되나 약간 이런 생각도 들어.","아 연애 굳이 연애를 해야 되나 약간 이런 생각도 들어."
"468","왜냐면 인제 내가 어짜피 헤어질 거 이렇게 시간과 내 돈과","왜냐면 이제 내가 어차피 헤어질 거 이렇게 시간과 내 돈과"
"469","어 내 감정 소비까지 들어가지고 마음 아파하면서","어 내 감정 소비까지 들어가지고 마음 아파하면서"
"470","약간 그래야 되나 약간 이런 생각도 많이 들긴 해.","약간 그래야 되나 약간 이런 생각도 많이 들긴 해."
"471","맞아 연애 쓰리 낭비라잖아 시간 돈 감정 낭비.","맞아 연애 쓰리 낭비라잖아 시간 돈 감정 낭비."
"472","맞아","맞아"
"473","근데 그거 다 제치고도 좋은 게 연애하면 솔직히 말해서","근데 그거 다 제치고도 좋은 게 연애하면 솔직히 말해서"
"474","언제든지 나를 챙겨줄 수 있는 사람이 옆에 있는 거니까 그런 게 되게 좋기는 하지.","언제든지 나를 챙겨줄 수 있는 사람이 옆에 있는 거니까 그런 게 되게 좋기는 하지."
"475","근데 연애는 하고 싶은데 결혼은 별로 안 하고 싶어.","근데 연애는 하고 싶은데 결혼은 별로 안 하고 싶어."
"476","아 근데 나는 요즘 좀 생각이 바뀐 게 연애는 많이 안 해보고 싶은데","아 근데 나는 요즘 좀 생각이 바뀐 게 연애는 많이 안 해보고 싶은데"
"477","내가 원래 진짜로 막 엄청난 비혼주의자였는데","내가 원래 진짜로 막 엄청난 비혼주의자였는데"
"478","진짜 아 나 요즘 결혼하고 싶다라는 생각 많이 드는 것 같아.","진짜 아 나 요즘 결혼하고 싶다라는 생각 많이 드는 것 같아."
"479","왜냐하면 옆에 그냥 평생을 독거노인으로 살 수도 없고 옆에 진짜 나 뭐라해야 되지?","왜냐하면 옆에 그냥 평생을 독거노인으로 살 수도 없고 옆에 진짜 나 뭐라해야 되지?"
"480","나를 믿어주고 약간 그런 사람이 있다면 좋겠다라고 생각했어 결혼하는 것도","나를 믿어주고 약간 그런 사람이 있다면 좋겠다라고 생각했어 결혼하는 것도"
"481","완전 바꼈네 결혼 안 한다더니","완전 바뀌었네 결혼 안 한다더니"
"482","한데 연애는 솔직히 말해서 다 갑을이 있는 거 같애 진짜 인정해.","한데 연애는 솔직히 말해서 다 갑을이 있는 거 같애 진짜 인정해."
"483","나는 갑을이 처음에는 연애 안 할 때는 없다고 생각했거든?","나는 갑을이 처음에는 연애 안 할 때는 없다고 생각했거든?"
"484","근데 연애해보니까 갑과 을이 무조건 있고 더 져주는 사람이 진짜 있어.","근데 연애해보니까 갑과 을이 무조건 있고 더 져주는 사람이 진짜 있어."
"485","그럼 너 같은 경우에는 갑을이 어떻게 돼?","그럼 너 같은 경우에는 갑을이 어떻게 돼?"
"486","내가 갑이지 근데 연애를 하면은 내가 갑이면","내가 갑이지 근데 연애를 하면은 내가 갑이면"
"487","오히려 상대방한테 을처럼 대해주게 된다니까 약간 짠해 보이니까","오히려 상대방한테 을처럼 대해주게 된다니까 약간 짠해 보이니까"
"488","아 근데 나 내가 만약 나도 난 지금 연애를 해보진 않았지만","아 근데 나 내가 만약 나도 난 지금 연애를 해보진 않았지만"
"489","난 개인적으로 난 연애를 하면 갑처럼 보일 수도 있겠지만 난 을이 될 거 같아.","난 개인적으로 난 연애를 하면 갑처럼 보일 수도 있겠지만 난 을이 될 거 같아."
"490","왜냐하면 약간 좀 약간 좀 끌려다니는 스타일일 것 같아 나는","왜냐하면 약간 좀 약간 좀 끌려다니는 스타일일 것 같아 나는"
"491","근데 연애를 안 했을 때는 솔직히 그런 엄청난 환상이 있잖아.","근데 연애를 안 했을 때는 솔직히 그런 엄청난 환상이 있잖아."
"492","막 길 가다가 부딪혔는데 엄청난 이상형을 만난다거나 {laughing}","막 길 가다가 부딪혔는데 엄청난 이상형을 만난다거나 {laughing}"
"493","근데 그런 건 진짜 드라마인 것 같아.","근데 그런 건 진짜 드라마인 것 같아."
"494","근데 그런 것도 솔직히 한 번쯤은 해보고 싶어.","근데 그런 것도 솔직히 한 번쯤은 해보고 싶어."
"495","아 근데 그 항상 영화를 보면서 그게 진짜로 그런 사랑을 하고 그런 연애를 할 수 있을까 생각하긴 하는데","아 근데 그 항상 영화를 보면서 그게 진짜로 그런 사랑을 하고 그런 연애를 할 수 있을까 생각하긴 하는데"
"496","솔직히 말해서 요즘에 너무 냉소적이게 변해가지고 그런 거 없겠다 약간 이 생각 해.","솔직히 말해서 요즘에 너무 냉소적이게 변해가지고 그런 거 없겠다 약간 이 생각 해."
"497","그럼 너는 이상형은 있어?","그럼 너는 이상형은 있어?"
"498","아 이상형 솔직히 이상형 뭐 옛날에는 뭐 백팔십오 센티미터에 키가 크고 잘생긴 남성이라고 생각했는데","아 이상형 솔직히 이상형 뭐 옛날에는 뭐 백팔십오 센티미터에 키가 크고 잘생긴 남성이라고 생각했는데"
"499","요즘은 솔직히 이상형이 많이 구체화됐다 이런 것도 있는데","요즘은 솔직히 이상형이 많이 구체화됐다 이런 것도 있는데"
"500","솔직히 나 이상형을 만나도 막상 다가가지를 -못하- 못할 것 같고","솔직히 나 이상형을 만나도 막상 다가가지를 -못하- 못할 것 같고"
"501","그냥 이 사람이 -좋- 좋다라고 느끼면은 그냥 나도 좋아할 것 같아 딱히 이상형 같은 거 따지지 않고","그냥 이 사람이 -좋- 좋다라고 느끼면은 그냥 나도 좋아할 것 같아 딱히 이상형 같은 거 따지지 않고"
"502","그럼 너는 연애하기 전에 너가 썸 탈 때 너가 다가가는 타입이야 아니면 다가감을 –즐- 받아들이는 타입이야?","그럼 너는 연애하기 전에 너가 썸 탈 때 너가 다가가는 타입이야 아니면 다가감을 –즐- 받아들이는 타입이야?"
"503","아니 근데 나는 썸을 타본 적도 없는데 만약에 그런다면 난 약간 기다리는 타입일 것 같은데","아니 근데 나는 썸을 타본 적도 없는데 만약에 그런다면 난 약간 기다리는 타입일 것 같은데"
"504","그냥 이렇게 받아주는 타입 왜냐면 약간 나도 내 감정을 드러내는 데 익숙치 않아가지고","그냥 이렇게 받아주는 타입 왜냐면 약간 나도 내 감정을 드러내는 데 익숙치 않아가지고"
"505","그냥 그 사람이 다가와야지 나도 어느 정도 이렇게 해줄 것 같아 약간 내가 다가가는 타입은 아닌 것 같어.","그냥 그 사람이 다가와야지 나도 어느 정도 이렇게 해줄 것 같아 약간 내가 다가가는 타입은 아닌 것 같아."
"506","난 완전 들이대고 완전 그냥 다 보여주는 타입이거든","난 완전 들이대고 완전 그냥 다 보여주는 타입이거든"
"507","막 지금 연애하는 (()) 어 좋은데 아 좋은데 아 그냥 사귈까 이렇게 말하는 타입인데","막 지금 연애하는 (()) 어 좋은데 아 좋은데 아 그냥 사귈까 이렇게 말하는 타입인데"
"508","내가 그렇게 말하면 상대방은 장난인 줄 알더라고 {laughing}","내가 그렇게 말하면 상대방은 장난인 줄 알더라고 {laughing}"
"509","아 맞아 근데 너 옛날부터 –기- 우리 기숙사같이 살 때부터","아 맞아 근데 너 옛날부터 –기- 우리 기숙사같이 살 때부터"
"510","막 먼저 다가가고 그랬잖아 진짜 막 좋아하면 좋아한다고 애들한테 공공연하게 알리고","막 먼저 다가가고 그랬잖아 진짜 막 좋아하면 좋아한다고 애들한테 공공연하게 알리고"
"511","인제 이렇게 하고 그 그런 거 보면 참 신기하다 약간 이런 생각도 하지 나랑은 정반대라서","이제 이렇게 하고 그 그런 거 보면 참 신기하다 약간 이런 생각도 하지 나랑은 정반대라서"
"512","근데 연애를 하다 보면 이게 겉으로 봤을 때 되게 한쪽이 한쪽한테 맞춰주고","근데 연애를 하다 보면 이게 겉으로 봤을 때 되게 한쪽이 한쪽한테 맞춰주고"
"513","막 한쪽이 엄청 벤츠처럼 보이고 그런단 말이야","막 한쪽이 엄청 벤츠처럼 보이고 그런단 말이야"
"514","근데 연애는 진짜 하는 사람 아니면 속 사정을 전혀 모르겠더라고","근데 연애는 진짜 하는 사람 아니면 속 사정을 전혀 모르겠더라고"
"515","내가 겉으로 봤을 때는 얘가 얘한테 되게 맞춰주는 거 같고 얘는 되게 다 져주는 것 같은데","내가 겉으로 봤을 때는 얘가 얘한테 되게 맞춰주는 거 같고 얘는 되게 다 져주는 것 같은데"
"516","알고 보면 얘가 더 스트레스 받고 있는 거야 그러니까 연애는 진짜 당사자 아니면은 말을 하면 안 돼.","알고 보면 얘가 더 스트레스 받고 있는 거야 그러니까 연애는 진짜 당사자 아니면은 말을 하면 안 돼."
"517","어 그치 그렇게 연애는 솔직히 말해서 나도 뭐 –해본- 해본 입장은 아니지만 그냥 딱 보면은","어 그치 그렇게 연애는 솔직히 말해서 나도 뭐 –해본- 해본 입장은 아니지만 그냥 딱 보면은"
"518","오랫동안 해 온 애들 보면은 그냥 서로 맞춰주는 것 같더라고.","오랫동안 해 온 애들 보면은 그냥 서로 맞춰주는 것 같더라고."
"519","그래가지고 뭐 뭐 열심히 연애하구나 약간 그생각만 하지","그래가지고 뭐 뭐 열심히 연애하구나 약간 그생각만 하지"
"520","뭐 굳이 당사자 입장에서 생각하고 -그런- 그런 건 좀 지양하려는 편인 것 같아.","뭐 굳이 당사자 입장에서 생각하고 -그런- 그런 건 좀 지양하려는 편인 것 같아."
"521","근데 연애하면 나 말고도 막 주변에 연애하는 애들 보면은 유형이 되게 다양하단 말이야.","근데 연애하면 나 말고도 막 주변에 연애하는 애들 보면은 유형이 되게 다양하단 말이야."
"522","진짜 드라마에 나오는 것처럼 되게 나쁘게 연애하는 애들도 있더라 진짜 막","진짜 드라마에 나오는 것처럼 되게 나쁘게 연애하는 애들도 있더라 진짜 막"
"523","친구 남친 뺏고 막 그런 애들 그런 애들 보면 진짜 신기해.","친구 남친 뺏고 막 그런 애들 그런 애들 보면 진짜 신기해."
"524","그렇게까지 연애를 하고 싶나 그런 생각도 들어.","그렇게까지 연애를 하고 싶나 그런 생각도 들어."
"525","아 나도 솔직히 말해서 –나- -나- 나는 친구 남친 –있- 있다고 하면은","아 나도 솔직히 말해서 –나- -나- 나는 친구 남친 –있- 있다고 하면은"
"526","그게 나한테 딱 들었을 때 뭐 –남- 남자로서의 감정이 안 들 것 같은데","그게 나한테 딱 들었을 때 뭐 –남- 남자로서의 감정이 안 들 것 같은데"
"527","어 진짜 저렇게까지 사랑을 하는구나 하면서 신기하기도 하고","어 진짜 저렇게까지 사랑을 하는구나 하면서 신기하기도 하고"
"528","저렇게까지 사겨야 되나 약간 이 생각도 들긴 해.","저렇게까지 사겨야 되나 약간 이 생각도 들긴 해."
"529","그럼 딱 받고 싶은 고백 이런 거 있어?","그럼 딱 받고 싶은 고백 이런 거 있어?"
"530","아니 딱히 없는 것 같은데 나는 솔직히 막 뭐 진짜로 엄청 심각하게 좋아해 본 적도 없고 누구를","아니 딱히 없는 것 같은데 나는 솔직히 막 뭐 진짜로 엄청 심각하게 좋아해 본 적도 없고 누구를"
"531","그래가지고 받고 싶은 고백은 딱히 없는 거 같아.","그래가지고 받고 싶은 고백은 딱히 없는 거 같아."
"532","그러면은 첫 번째 학교 운동장에 앉아가지고 널 좋아한다고 수줍게 말하는 남자가 있고","그러면은 첫 번째 학교 운동장에 앉아가지고 널 좋아한다고 수줍게 말하는 남자가 있고"
"533","두 번째 지하철에서 큰 소리로 말하면서 고백하는 남자.","두 번째 지하철에서 큰 소리로 말하면서 고백하는 남자."
"534","아 난 개인적으로 조용히 인제 말하는 사람 좋아해.","아 난 개인적으로 조용히 이제 말하는 사람 좋아해."
"535","왜냐하면은 어떻게 지하철에서 사람들 다 있는데 창피하게 막 그래.","왜냐하면은 어떻게 지하철에서 사람들 다 있는데 창피하게 막 그래."
"536","옛날에는 진짜 우리 드라마 같은데 보면은","옛날에는 진짜 우리 드라마 같은데 보면은"
"537","막 그 공공연하게 약간 그 프로포즈하고 그런 사람 보면서 와 멋있다라고 생각했는데 인제 요즘에는","막 그 공공연하게 약간 그 프로포즈하고 그런 사람 보면서 와 멋있다라고 생각했는데 이제 요즘에는"
"538","그런 것보다는 그냥 뭐 저녁에 산책을 하면서 약간 좀 그런 게 더 낫겠다 약간 이 생각 하지.","그런 것보다는 그냥 뭐 저녁에 산책을 하면서 약간 좀 그런 게 더 낫겠다 약간 이 생각 하지."
"539","근데 연애하면은 도움 되는 순기능이 되게 나는 오히려 많았던 것 같애.","근데 연애하면은 도움 되는 순기능이 되게 나는 오히려 많았던 것 같애."
"540","연애하면 오히려 약간 내가 해야 되는 일에 집중하게 되고 그렇게 더 되게 좋더라고 난","연애하면 오히려 약간 내가 해야 되는 일에 집중하게 되고 그렇게 더 되게 좋더라고 난"
"541","아 근데 나는 연애를 한다고 생각했을 때 나는 내 일에 집중을 못 할 것 같애.","아 근데 나는 연애를 한다고 생각했을 때 나는 내 일에 집중을 못 할 것 같애."
"542","왜냐하면 나 같은 경우에는 그냥 좀 좋아하면 그 사람한테 약간 미쳐버릴 스타일일 것 같아가지고","왜냐하면 나 같은 경우에는 그냥 좀 좋아하면 그 사람한테 약간 미쳐버릴 스타일일 것 같아가지고"
"543","그래서 연애를 해도 그냥 내 일 못하고 그냥 그 사람한테 그사람 막 집착하면서 약간 좀 그런 스타일 일 거 같아.","그래서 연애를 해도 그냥 내 일 못하고 그냥 그 사람한테 그사람 막 집착하면서 약간 좀 그런 스타일 일 거 같아."
"544","근데 나는 연애하면서 제일 싫은 게 구속하고 집착하는 게 제일이고","근데 나는 연애하면서 제일 싫은 게 구속하고 집착하는 게 제일이고"
"545","두번째로 싫은 게 남사친 여사친 이게 제일 싫었어 진짜 그거 막 터치하는 거","두번째로 싫은 게 남사친 여사친 이게 제일 싫었어 진짜 그거 막 터치하는 거"
"546","아 근데 약간 좀 나는 막 남사친 여사친 같은 거 있으면","아 근데 약간 좀 나는 막 남사친 여사친 같은 거 있으면"
"547","나도 너무 스트레스 받을 거 같아 아 이 나 혼자 혼자 의심하게 되고","나도 너무 스트레스 받을 거 같아 아 이 나 혼자 혼자 의심하게 되고"
"548","근데 진짜 연애할 때 혼자 의심하고 혼자 생각하는 거 진짜 안 좋은 것 같아 그냥 봐도 내가 봐도","근데 진짜 연애할 때 혼자 의심하고 혼자 생각하는 거 진짜 안 좋은 것 같아 그냥 봐도 내가 봐도"
"549","그럼 너는 남사친 너가 있어","그럼 너는 남사친 너가 있어"
"550","그 애를 간섭하면 싫어 아니면 너도 이해해?","그 애를 간섭하면 싫어 아니면 너도 이해해?"
"551","아 근데 또 내 입장이 되면 또 다르네 {laughing}","아 근데 또 내 입장이 되면 또 다르네 {laughing}"
"552","약간 좀 근데 어느 정도 선을 지키면서 내가 만나지 않을까 만약 만나더라도","약간 좀 근데 어느 정도 선을 지키면서 내가 만나지 않을까 만약 만나더라도"
"553","근데 그냥 싫대 그냥 싫대 남사친 그냥 싫대","근데 그냥 싫대 그냥 싫대 남사친 그냥 싫대"
"554","나랑 연애를 계속하려면 남사친 다 없애버리래 그럼 어떡할 거야?","나랑 연애를 계속하려면 남사친 다 없애버리래 그럼 어떡할 거야?"
"555","그거 남친이 싫을 것 같아. {laughing}","그거 남친이 싫을 것 같아. {laughing}"
"556","뭐라고?","뭐라고?"
"557","남자친구가 싫을 것 같아.","남자친구가 싫을 것 같아."
"558","그래 그럼 헤어진다고 그게 연애가 그게 문제여.","그래 그럼 헤어진다고 그게 연애가 그게 문제야."
"559","서로 이제 그런 게 이해의 정도가 맞는 사람을 만나야 오래 하지.","서로 이제 그런 게 이해의 정도가 맞는 사람을 만나야 오래 하지."
"560","안 그러면은 금방 끝나부러 연애가 그런 연애는 진짜","안 그러면은 금방 끝나버려 연애가 그런 연애는 진짜"
"561","근데 나 같은 경우에는 뭐 연애를 안 했지만 너는 좀 오래 사귀고 있잖아.","근데 나 같은 경우에는 뭐 연애를 안 했지만 너는 좀 오래 사귀고 있잖아."
"562","그런 거 보면서 막 아 나 얘랑 결혼하겠다라고 생각한 적 있어?","그런 거 보면서 막 아 나 얘랑 결혼하겠다라고 생각한 적 있어?"
"563","단 한 번도 없어 아니 나이가 너무 어릴뿐더러 애초에 뭐 고등학교 때 만나서 결혼까지 했어요","단 한 번도 없어 아니 나이가 너무 어릴뿐더러 애초에 뭐 고등학교 때 만나서 결혼까지 했어요"
"564","저희 뭐 오늘로써 만백 일 커플 이런 거 있잖아 그거 진짜 뭐 상위 일 퍼센트의 이야기고","저희 뭐 오늘로써 만백 일 커플 이런 거 있잖아 그거 진짜 뭐 상위 일 퍼센트의 이야기고"
"565","어떻게 그렇게 어렸을 때 만나서 오래 만나서 결혼을 하겠어 사고 쳐서 결혼하지 않는 이상","어떻게 그렇게 어렸을 때 만나서 오래 만나서 결혼을 하겠어 사고 쳐서 결혼하지 않는 이상"
"566","그건 진짜 어렵지 그냥 뭐 서로의 성장을 응원하는 {laughing} 그런 거지.","그건 진짜 어렵지 그냥 뭐 서로의 성장을 응원하는 {laughing} 그런 거지."
"567","아 근데 진짜 결혼은 또 –다르더- 다르다고 사람들이 말하더라고 막","아 근데 진짜 결혼은 또 –다르더- 다르다고 사람들이 말하더라고 막"
"568","갑자기 연애를 오래 한 사람들도 결혼을 안 하는 경우도 있고","갑자기 연애를 오래 한 사람들도 결혼을 안 하는 경우도 있고"
"569","그래서 결혼은 진짜 모르는 거라고 했어 -사- 뭐 나는 겪어보지는 않았지만","그래서 결혼은 진짜 모르는 거라고 했어 -사- 뭐 나는 겪어보지는 않았지만"
"570","아 근데 결혼하면 솔직히 약간 나는 설레는 게 아 약간 우리 둘만을 위한 신혼집과 {laughing}","아 근데 결혼하면 솔직히 약간 나는 설레는 게 아 약간 우리 둘만을 위한 신혼집과 {laughing}"
"571","그런 아기자기한 소품들 막 그런 거 보면은 아 저런 거 진작 빨리해보고 싶다 그런 생각은 해.","그런 아기자기한 소품들 막 그런 거 보면은 아 저런 거 진작 빨리해보고 싶다 그런 생각은 해."
"572","아 맞아 근데 결혼 솔직히 결혼 안 한다는 입장에서 바꼈지만","아 맞아 근데 결혼 솔직히 결혼 안 한다는 입장에서 바뀌었지만"
"573","그런 거 하나하나 할 때마다 나도 진짜 설레고 그럴 것 같아","그런 거 하나하나 할 때마다 나도 진짜 설레고 그럴 것 같아"
"574","근데 너는 원래 약간 좀 왜 결혼을 갑자기 갑자기 -안 한- -안 한- -안 하- 안 하겠다고 생각했어?","근데 너는 원래 약간 좀 왜 결혼을 갑자기 갑자기 -안 한- -안 한- -안 하- 안 하겠다고 생각했어?"
"575","막 돈이 많이 드니까 그게 되게 싫은 거 같애 차라리 동거를 하는 거면 몰라도","막 돈이 많이 드니까 그게 되게 싫은 거 같애 차라리 동거를 하는 거면 몰라도"
"576","근데 동거는 아마 안되지 않을까 부모님이 허락을 안 해주니까 어쨌든","근데 동거는 아마 안되지 않을까 부모님이 허락을 안 해주니까 어쨌든"
"577","약간 돈 많이 들고 경제적으로 더 손해를 보는 것 같으니까 약간 무섭더라고 그런 거 보면은","약간 돈 많이 들고 경제적으로 더 손해를 보는 것 같으니까 약간 무섭더라고 그런 거 보면은"
"578","근데 연애는 많이 하고 싶어. {laughing}","근데 연애는 많이 하고 싶어. {laughing}"
"579","아 근데 진짜 결혼 결혼이 확실히 돈이 좀 많이 들긴 해도 그냥 좀","아 근데 진짜 결혼 결혼이 확실히 돈이 좀 많이 들긴 해도 그냥 좀"
"580","확실히 그냥 좀 요즘 생각하는 게 아 왜 진짜 어른들이 자기랑 맞는 어느 정도 맞는 사람을 만나야 한다는 걸 느껴.","확실히 그냥 좀 요즘 생각하는 게 아 왜 진짜 어른들이 자기랑 맞는 어느 정도 맞는 사람을 만나야 한다는 걸 느껴."
"581","왜냐면은 진짜 맞는 사람 만나서 경제적으로도 맞는 사람 이렇게 만나가지고 결혼을 해야지.","왜냐면은 진짜 맞는 사람 만나서 경제적으로도 맞는 사람 이렇게 만나가지고 결혼을 해야지."
"582","진짜 막 어떤 한 사람은 뭐 엄청 돈을 많이 버는데 어떤 한 사람은 그냥 뭐 그러면 안 맞잖아.","진짜 막 어떤 한 사람은 뭐 엄청 돈을 많이 버는데 어떤 한 사람은 그냥 뭐 그러면 안 맞잖아."
"583","아무리 사랑해도 그런 건 너무 안 맞는 것 같아 보수적으로 약간 생각이 바뀌고 있어.","아무리 사랑해도 그런 건 너무 안 맞는 것 같아 보수적으로 약간 생각이 바뀌고 있어."
"584","그런 게 좀 있긴 하지 근데 또 내가 뭐지 우리 언니가 외국 애들이랑 연애를 한단 말이야.","그런 게 좀 있긴 하지 근데 또 내가 뭐지 우리 언니가 외국 애들이랑 연애를 한단 말이야."
"585","그런 거 보면 진짜 완전히 달라 한국 애들하고 연애하는 거랑 그냥 문화 자체적으로 틀려.","그런 거 보면 진짜 완전히 달라 한국 애들하고 연애하는 거랑 그냥 문화 자체적으로 틀려."
"586","우리 언니가 뭐 남사친이랑 같이 술을 먹든 길거리에 만나가지고 안고 포옹을 하든 전혀 신경을 안 쓰더라고","우리 언니가 뭐 남사친이랑 같이 술을 먹든 길거리에 만나가지고 안고 포옹을 하든 전혀 신경을 안 쓰더라고"
"587","난 그런 거 보면서 진짜 완전 컬쳐쇼크 먹어 버렸잖아.","난 그런 거 보면서 진짜 완전 컬쳐쇼크 먹어 버렸잖아."
"588","아 그런 거 보면 진짜 신기하기도 해 진짜 뭐 난 들어본 적은 없지만 뭐 미드 같은 거 봐도","아 그런 거 보면 진짜 신기하기도 해 진짜 뭐 난 들어본 적은 없지만 뭐 미드 같은 거 봐도"
"589","약간 좀 와 진짜 저거를 어떻게 막 어떻게 허용해 줘?","약간 좀 와 진짜 저거를 어떻게 막 어떻게 허용해 줘?"
"590","약간 이런 생각이 들 정도로 진짜 외국 애들은 진짜 엄청 자유로운 것 같아 연애에 있어서","약간 이런 생각이 들 정도로 진짜 외국 애들은 진짜 엄청 자유로운 것 같아 연애에 있어서"
