"","chungcheong","seoul"
"345","그래서 좋았던 게 이제 다음주에도 또","그래서 좋았던 게 이제 다음주에도 또"
"346","시험 전날에 일찍 끝난단 말이여 항상 수능 전날이 그래서 다음 주에도 한 번 더 쉴 수 있어서","시험 전날에 일찍 끝난단 말이야 항상 수능 전날이 그래서 다음 주에도 한 번 더 쉴 수 있어서"
"347","쉴 수 있어서 약간 그런 게 좋았고","쉴 수 있어서 약간 그런 게 좋았고"
"348","음~ 그냥 약간 ((그냥)) 개인적으로 지진에 대해서는 쫌 좋은 기억이 (()) 쫌 있는 편이어서","음~ 그냥 약간 ((그냥)) 개인적으로 지진에 대해서는 좀 좋은 기억이 (()) 쫌 있는 편이어서"
"349","어~ 내가 막 진짜 크게 당했던-거나- 막 그랬던 게 아니어서","어~ 내가 막 진짜 크게 당했던-거나- 막 그랬던 게 아니어서"
"350","그랬던 것 같여.","그랬던 것 같아."
"351","그래서 나는 이제 여름에는 진짜 땀이 많은 많이 나는 편인디","그래서 나는 이제 여름에는 진짜 땀이 많은 많이 나는 편인데"
"352","여름엔 땀나면 진짜 불편한 게","여름엔 땀나면 진짜 불편한 게"
"353","이제 만약에 버스를 타야 돼서 버스를 탈라고 조금 뛰었어.","이제 만약에 버스를 타야 돼서 버스를 타려고 조금 뛰었어."
"354","근데 뛰면은 그때 당시에는 바로 땀이 안 나는디","근데 뛰면은 그때 당시에는 바로 땀이 안 나는데"
"355","뛰고서 쫌 안 뛰고 쉬고 있으면 땀이 되게 많이 난단 말이여.","뛰고서 좀 안 뛰고 쉬고 있으면 땀이 되게 많이 난단 말이야."
"356","그래서 막 버스 안에서 땀 막 진짜 많이 흘리기도 하고 막 그래서 좀 불편하고","그래서 막 버스 안에서 땀 막 진짜 많이 흘리기도 하고 막 그래서 좀 불편하고"
"357","여름에는 또 땀 닦을 데가 없단 말이여 그래서 되게 불편했구","여름에는 또 땀 닦을 데가 없단 말이야 그래서 되게 불편했구"
"358","이제 여름에 옷이 얇으니까 또 젖으면은 또 젖은게 막 보여요.","이제 여름에 옷이 얇으니까 또 젖으면은 또 젖은게 막 보여요."
"359","그래서 막 이제 그런 것도 되게 민망해가지고 막 그랬었는디","그래서 막 이제 그런 것도 되게 민망해가지고 막 그랬었는데"
"360","또 요즘에는 그래도 쫌 차분하게 다닐라고 하는 편이여서","또 요즘에는 그래도 좀 차분하게 다닐라고 하는 편이여서"
"361","땀은 잘 안 난단 말이여.","땀은 잘 안 난단 말이야."
"362","어~ 그랬던 기억이 있고 또 이제","어~ 그랬던 기억이 있고 또 이제"
"363","여름에 땀 많이 나면은 냄새 날까 봐 막 그랬던 것도 있고","여름에 땀 많이 나면은 냄새 날까 봐 막 그랬던 것도 있고"
"364","특히 등 땀 같은 경우는 회색을 입으면은 등 땀이 진짜 잘 보인단 말이여.","특히 등 땀 같은 경우는 회색을 입으면은 등 땀이 진짜 잘 보인단 말이야."
"365","다른색이 비해서 회색 같은 것도 잘 (())","다른색이 비해서 회색 같은 것도 잘 (())"
"366","하고 그래서 나는 검은색이나 흰색을 좋아하는 편인디","하고 그래서 나는 검은색이나 흰색을 좋아하는 편인데"
"367","흰색은 뭐 쫌 두꺼운 재질이면은 이~ 비치지는 않는단 말이여 안에가","흰색은 뭐 좀 두꺼운 재질이면은 이~ 비치지는 않는단 말이야 안에가"
"368","그래서 흰색 좀 두꺼운 재질 좋아하고","그래서 흰색 좀 두꺼운 재질 좋아하고"
"369","검은색은 뭐 젖은지도 모르는 사람 되게 많단 말이여.","검은색은 뭐 젖은지도 모르는 사람 되게 많단 말이야."
"370","그래서 그것도 좋아하고","그래서 그것도 좋아하고"
"371","근데 약간 색깔 뭐~ 연두색 약간 이런 초록색","근데 약간 색깔 뭐~ 연두색 약간 이런 초록색"
"372","이런 거는 이제 땀나면은 완전 티가 많이 나 가주구 나는 그런 색깔은","이런 거는 이제 땀나면은 완전 티가 많이 나 가지고 나는 그런 색깔은"
"373","땀 많이 나는 날에는 잘 안 입을라고 하고","땀 많이 나는 날에는 잘 안 입으려고 하고"
"374","((그래서)) 겨울엔","((그래서)) 겨울엔"
"375","응~ 검은색이 덥긴 한디","응~ 검은색이 덥긴 한디"
"376","또 검은색인 만큼 좋은 게 없단 말이여 또","또 검은색인 만큼 좋은 게 없단 말이야 또"
"377","그래서 나는 어~ 쫌 그러는 편이고","그래서 나는 어~ 좀 그러는 편이고"
"378","그렇다고 이제 막 그 등 땀 할라고 미니선풍기 들고다녀도","그렇다고 이제 막 그 등 땀 하려고 미니선풍기 들고다녀도"
"379","생각보다 그게 시원하긴 한디 땀을 주체할 수 있는 뭐 그런 건 아니어서","생각보다 그게 시원하긴 한데 땀을 주체할 수 있는 뭐 그런 건 아니어서"
"380","땀을 나 땀이 많이 나면은 쫌 그게","땀을 나 땀이 많이 나면은 좀 그게"
"381","땀이 줄어들려면 가만히 그냥 시원한 데 앉아있는게 최고란 말이여 그래서","땀이 줄어들려면 가만히 그냥 시원한 데 앉아있는게 최고란 말이야 그래서"
"382","나는 여름에 막 뛰너 뛰어서 땀나는 게 좀","나는 여름에 막 뛰너 뛰어서 땀나는 게 좀"
"383","그런 스트레스 아닌 스트레스 음~ 그런 게 있어서","그런 스트레스 아닌 스트레스 음~ 그런 게 있어서"
"384","근데 막 그렇다고 막 진짜 봄 가을에도 땀이 안 나는게 아니여.","근데 막 그렇다고 막 진짜 봄 가을에도 땀이 안 나는게 아니야."
"385","그냥 봄 가을에도 땀이 많이 나기도 하고","그냥 봄 가을에도 땀이 많이 나기도 하고"
"386","땀이 많이 나는 체질이여 가지고 쪼끔만 뛰어도 땀난단 말여 나는","땀이 많이 나는 체질이여 가지고 조금만 뛰어도 땀난단 말이야 나는"
"387","그래서 그런 것 때문에 좀 그렇고 또 땀이 많이 나면 또 발냄새 같은 것도 많이 날수도 있는디","그래서 그런 것 때문에 좀 그렇고 또 땀이 많이 나면 또 발냄새 같은 것도 많이 날수도 있는데"
"388","다행히 발냄새는 많이 안 나고 에~ 땀이 나면은","다행히 발냄새는 많이 안 나고 에~ 땀이 나면은"
"389","냄새가 그렇게 나는 편이 아니어 가주구 다행인 게","냄새가 그렇게 나는 편이 아니어 가지고 다행인 게"
"390","애들은 내가 땀이 많이 나는데도 애들이 뭐 냄새난다고 막 그런 적 없단 말이여 그래서","애들은 내가 땀이 많이 나는데도 애들이 뭐 냄새난다고 막 그런 적 없단 말이야 그래서"
"391","어~ 땀이 많이 나도 냄새 많이 안 나는 편이어서 좀 좋은 것 같여.","어~ 땀이 많이 나도 냄새 많이 안 나는 편이어서 좀 좋은 것 같아."
"392","난 사춘기 때도 땀냄새가 별로 안 심한 편이였어 가주구","난 사춘기 때도 땀냄새가 별로 안 심한 편이였어 가지고"
"393","음~ 다 어~ 그래서 뭐","음~ 다 어~ 그래서 뭐"
"394","땀 땜에 걱정하는 거는 (()) 그냥 제가 눈에 보이는 시각적인 모습?","땀 땜에 걱정하는 거는 (()) 그냥 제가 눈에 보이는 시각적인 모습?"
"395","시각적인 모습 때문에 조금 걱정을 많이 했는디.","시각적인 모습 때문에 조금 걱정을 많이 했는데."
"396","그래도 그런 거는 이제 이제는 좀 익숙해져 가지고 괜찮단 말이여 그래서 좀 그렇고","그래도 그런 거는 이제 이제는 좀 익숙해져 가지고 괜찮단 말이야 그래서 좀 그렇고"
"397","장마나 습기 때 막 우리 집 벽에 저기 베란다 같은 데 곰팡이가 핀적이 있었는디","장마나 습기 때 막 우리 집 벽에 저기 베란다 같은 데 곰팡이가 핀적이 있었는데"
"398","(()) 그런 거는 이제 다이소 같은 데서 곰팡이 제거하는 게 있단 말이여.","(()) 그런 거는 이제 다이소 같은 데서 곰팡이 제거하는 게 있단 말이야."
"399","(()) 그런 거 막 뿌려놓고 이제 뿌려놓고 지우면 막 지워진단 말이여.","(()) 그런 거 막 뿌려놓고 이제 뿌려놓고 지우면 막 지워진단 말이야."
"400","그렇던 그냥 그런 뭐 장마때는 곰팡이에 관련된 거 약간 그런 거 있고 근데","그렇던 그냥 그런 뭐 장마때는 곰팡이에 관련된 거 약간 그런 거 있고 근데"
"401","우리 집이 생각보다 벽지 같은거나 옷 같은 거에 곰팡이가 많이 스는 편이 아니기도 하고","우리 집이 생각보다 벽지 같은거나 옷 같은 거에 곰팡이가 많이 스는 편이 아니기도 하고"
"402","생각보다 요즘에 습도가 그렇게 심하게 높거나 막 그러지는 않았던 것 같애서","생각보다 요즘에 습도가 그렇게 심하게 높거나 막 그러지는 않았던 것 같애서"
"403","장마가 막 진짜 무슨 안쉬고 계속 오거나 막 그랬던 게 아닌 아닌 거 같애가지고","장마가 막 진짜 무슨 안쉬고 계속 오거나 막 그랬던 게 아닌 아닌 거 같아가지고"
"404","이제 베란다 쪽에는 인제 쫌 곰팡이가 났었는디","이제 베란다 쪽에는 인제 좀 곰팡이가 났었는데"
"405","집안 내부에서 곰팡이가 난 적은 별로 없어서","집안 내부에서 곰팡이가 난 적은 별로 없어서"
"406","이게 층수가 높아서 그런 건지 아니면은 왜 그런건지 모르겠는디","이게 층수가 높아서 그런 건지 아니면은 왜 그런건지 모르겠는데"
"407","생각보다 곰팡이 땜에 고생한 적은 없는 것 같단 느낌?","생각보다 곰팡이 땜에 고생한 적은 없는 것 같단 느낌?"
"408","그리고 집을 이 집 이사 가기 전에는 그래도","그리고 집을 이 집 이사 가기 전에는 그래도"
"409","곰팡이가 조금 있었는디","곰팡이가 조금 있었는데"
"410","집 이사 온 뒤에는 곰팡이가 별로 없어 가주구","집 이사 온 뒤에는 곰팡이가 별로 없어 가지고"
"411","어~곰팡이 때문에 힘든 적은 별로 어~ 없었던거 같단 말이여.","어~곰팡이 때문에 힘든 적은 별로 어~ 없었던거 같단 말이야."
"412","어~ 그래서 어~ 그래서 비 오는 날 같은 경우는 이제","어~ 그래서 어~ 그래서 비 오는 날 같은 경우는 이제"
"413","어~ 쪼꼼 나같 내가 나 같은 경우에는 이제 비가 쪼꼼 진짜 완전","어~ 조금 나같 내가 나 같은 경우에는 이제 비가 조금 진짜 완전"
"414","완전 쪼끔 오면은 우산은 많이 안 쓰는 편인디","완전 조금 오면은 우산은 많이 안 쓰는 편인데"
"415","어 왜냐하면 뭔가 사람들도 우산 안 쓰고","어 왜냐하면 뭔가 사람들도 우산 안 쓰고"
"416","맞을 정도의 비면은 안 쓰는 사람도 은근 많단 말이여.","맞을 정도의 비면은 안 쓰는 사람도 은근 많단 말이야."
"417","쪼꼼 온다고 막 쓰진 않는단 말이여 그래서 난 그런 게 쪼꼼","조금 온다고 막 쓰진 않는단 말이야 그래서 난 그런 게 조금"
"418","비가 올 거면 오고 안올거면 안오면 좋겠는디","비가 올 거면 오고 안올거면 안오면 좋겠는데"
"419","비가 올 오는 듯 안 오는 듯 오는 듯 안 오는 이렇게도 되게 많이 온단 말이여.","비가 올 오는 듯 안 오는 듯 오는 듯 안 오는 이렇게도 되게 많이 온단 말이야."
"420","그래서 난 쫌 그런 (()) 좀 싫고 음~ 비가 쫌 어~ 올라면오고 안올라면 안오고 좀 줏대있게 왔으면 좋겠다는 느낌?","그래서 난 좀 그런 (()) 좀 싫고 음~ 비가 좀 어~ 올라면오고 안올라면 안오고 좀 줏대있게 왔으면 좋겠다는 느낌?"
"421","비가 쫌 음~ 쫌 막 오는 듯 안 오는듯 오면은 우산 쓰기도 애매하고","비가 좀 음~ 좀 막 오는 듯 안 오는듯 오면은 우산 쓰기도 애매하고"
"422","그래서 안 쓰기도 애매하고 막 그렇단 말이여 그래서","그래서 안 쓰기도 애매하고 막 그렇단 말이야 그래서"
"423","여름에는 이제 막 우산 갖고 다녀야 되는게 진짜 싫고 막 장맛","여름에는 이제 막 우산 갖고 다녀야 되는게 진짜 싫고 막 장맛"
"424","특히 장마철에는 언제 비가 올지 모르잖여 그래서","특히 장마철에는 언제 비가 올지 모르잖아 그래서"
"425","막 그런 거 우산 쓰고 댕기고 막 그러는 게 되게 싫단 말야 그래서 아 난 비 오는 날이","막 그런 거 우산 쓰고 다니고 막 그러는 게 되게 싫단 말야 그래서 아 난 비 오는 날이"
"426","집에 있으면 되게 좋은 디 밖에서 이렇게 있을 때는 비오는 날이 정말 싫은 것 같여.","집에 있으면 되게 좋은 데 밖에서 이렇게 있을 때는 비오는 날이 정말 싫은 것 같아."
"427","요즘 수능 끝나 가주구 고 삼 때 찌운 살 뺄려면 다이어트도 해야 되잖어?","요즘 수능 끝나 가지고 고 삼 때 찌운 살 빼려면 다이어트도 해야 되잖어?"
"428","나는 고 삼 때 단 거를 너무 많이 먹고","나는 고 삼 때 단 거를 너무 많이 먹고"
"429","뭔가 밀가루를 계속 먹다 보니까 살이 너무 많이 쪄 가주구 쫌 살 좀 빼야겠슈.","뭔가 밀가루를 계속 먹다 보니까 살이 너무 많이 쪄 가지고 조금 살 좀 빼야겠어요."
"430","목표하고 있는 그~ 키로 수가 있어?","목표하고 있는 그~ 키로 수가 있어?"
"431","약간 이만큼 빼는 게 너의 목표?","약간 이만큼 빼는 게 너의 목표?"
"432","우선 나는 고 삼 때 빼 논 살을 쫌 빼야 되니까 음~ 한 오 키로 정도만 빼면 좋을 거 같어.","우선 나는 고 삼 때 빼 놓은 살을 조금 빼야 되니까 음~ 한 오 키로 정도만 빼면 좋을 거 같아."
"433","오 키로 정도면은","오 키로 정도면은"
"434","운동을 많이 할 생각이야 아니면은 식단을 좀 줄일 생각이야?","운동을 많이 할 생각이야 아니면은 식단을 좀 줄일 생각이야?"
"435","아니면 같이 병행하려고 하는 거야?","아니면 같이 병행하려고 하는 거야?"
"436","나는 어~ 고 삼 때 식습관이 너무","나는 어~ 고 삼 때 식습관이 너무"
"437","그지 같아 가주구 살이 찐 거라서 음~ 약간 채소를 많이 먹고","거지 같아 가지고 살이 찐 거라서 음~ 약간 채소를 많이 먹고"
"438","어~ ((거)) 밀가루 음식은 쫌 줄이고 ((나니까)) 요즘 단 거를 너무 많이 먹어 가주구 쫌 ((거)) 쫌 줄이려고","어~ ((거)) 밀가루 음식은 조금 줄이고 ((나니까)) 요즘 단 거를 너무 많이 먹어 가지고 조금 ((거)) 조금 줄이려고"
"439","긋도 괜찮은 거 같애.","그것도 괜찮은 거 같아."
"440","근데 내가 원래 한 번 딱 다이어트를 해 봤는데","근데 내가 원래 한 번 딱 다이어트를 해 봤는데"
"441","그때는 내가 먹는 걸 진짜 많이 먹었어 가지고 먹은 먹는 양을 좀 줄여 봤거든?","그때는 내가 먹는 걸 진짜 많이 먹었어 가지고 먹은 먹는 양을 좀 줄여 봤거든?"
"442","그러니까 살이 진짜 잘 빠졌단 말여.","그러니까 살이 진짜 잘 빠졌단 말이야."
"443","근데 이번에 최근에도 한 번 먹는 걸 줄여 봤는데 안 빠지는 걸 보아하니","근데 이번에 최근에도 한 번 먹는 걸 줄여 봤는데 안 빠지는 걸 보아하니"
"444","아마 이제는 운동 할 때가 된 것 같다는 생각이 들어서 내가","아마 이제는 운동 할 때가 된 것 같다는 생각이 들어서 내가"
"445","유튜브에 홈트하는 영상이 진짜 많으니까 한 번 찾아 봤걸랑?","유튜브에 홈트하는 영상이 진짜 많으니까 한 번 찾아 봤거든?"
"446","근데 어~ 내가 걱정인 게 그~ 집에서 하 그~ 운동하는 영상을 찾아보니까","근데 어~ 내가 걱정인 게 그~ 집에서 하 그~ 운동하는 영상을 찾아보니까"
"447","사람들이 헬스장 영상도 진짜 많이 올렸단 말이야.","사람들이 헬스장 영상도 진짜 많이 올렸단 말이야."
"448","근데 헬스장은 가는 데 제한이 있고 짐 코로나 때문에 위험하기 때문에","근데 헬스장은 가는 데 제한이 있고 지금 코로나 때문에 위험하기 때문에"
"449","홈트 영상을 찾아 봤는데 일단 첫 번째 준비물은 요가매트가 필수일 거 같애.","홈트 영상을 찾아 봤는데 일단 첫 번째 준비물은 요가매트가 필수일 거 같아."
"450","왜냐면은 집에서 운동하다 보니까 아파트에 살다 보니까","왜냐하면은 집에서 운동하다 보니까 아파트에 살다 보니까"
"451","그~ 층간소음이 일어날 것 같은디 그래서 나는","그~ 층간소음이 일어날 것 같은데 그래서 나는"
"452","그~ 진짜 살을 빼려고 본격적으로 하기 전에 집에서 운동을 해야 하니까","그~ 진짜 살을 빼려고 본격적으로 하기 전에 집에서 운동을 해야 하니까"
"453","요가매트를 준비해 볼려고 해.","요가매트를 준비해 보려고 해."
"454","내가 살이 찌다 보니까 뭔가 몸도 찌뿌둥하고 약간 허리도 아프구 그렇더라구?","내가 살이 찌다 보니까 뭔가 몸도 찌뿌둥하고 약간 허리도 아프구 그렇더라구?"
"455","그래 가주구 나도 살을 어~ 살을 뺄 나두 코로나 때매 밖은 못 나가니까","그래 가지고 나도 살을 어~ 살을 뺄 나두 코로나 때문에 밖은 못 나가니까"
"456","집에서 홈트를 할려고 하는디 어~ 나는 약간 스트레칭으루 우선","집에서 홈트를 하려고 하는데 어~ 나는 약간 스트레칭으루 우선"
"457","약간 뭐~ 식 체형 같은 거를 쫌 개선 할려구 약간","약간 뭐~ 식 체형 같은 거를 조금 개선 하려고 약간"
"458","라운드 숄더 스트레칭이나 뭐~ 거북목 스트레칭 이런 거를 쫌 주로 하고","라운드 숄더 스트레칭이나 뭐~ 거북목 스트레칭 이런 거를 조금 주로 하고"
"459","그중에서 내가 쫌 콤플렉스인 부분이 다리가 약간 휘어 가주구 그~ 다리 휘는 스트레칭 좀 쫌 할려구","그중에서 내가 조금 콤플렉스인 부분이 다리가 약간 휘어 가지고 그~ 다리 휘는 스트레칭 좀 조금 하려고"
"460","어~ 나는 그~ 다이어트나 몸무게를 유지하기 위해 가주구","어~ 나는 그~ 다이어트나 몸무게를 유지하기 위해 가지고"
"461","어~ 약간 다이어트에 도움이 되는 물을 쫌 자주 마시던 바던가","어~ 약간 다이어트에 도움이 되는 물을 조금 자주 마시던 바던가"
"462","어~ 약간 뭐~ 가까운 거리는 걸어 간다거던가","어~ 약간 뭐~ 가까운 거리는 걸어 간다거던가"
"463","약간 이렇게 사소한 노력을 하고 있는디 너는 (()) 뭔 노력을 하는 편이여?","약간 이렇게 사소한 노력을 하고 있는데 너는 (()) 뭔 노력을 하는 편이야?"
"464","나는 내가 내 그~ 인바디라는 걸 해 봤었거든?","나는 내가 내 그~ 인바디라는 걸 해 봤었거든?"
"465","근데 그게 부족하다고 나온 게 나는 몸에 수분이 부족하다고 나온 거여.","근데 그게 부족하다고 나온 게 나는 몸에 수분이 부족하다고 나온 거야."
"466","((근데)) 나도 너처럼 물을 많이 먹어야 하는디 근데 내가 물을 진짜 잘 안 먹어 가지고","((근데)) 나도 너처럼 물을 많이 먹어야 하는데 근데 내가 물을 진짜 잘 안 먹어 가지고"
"467","몸에 수분이 부족한 것 같아서 물을 많이 먹으려는 노력을 해 보고 있어.","몸에 수분이 부족한 것 같아서 물을 많이 먹으려는 노력을 해 보고 있어."
"468","그래 (()) 그래야지 물을 많이 먹어면은 도움이 안될 건 없잖아 적게 먹는 것보다는","그래 (()) 그래야지 물을 많이 먹어면은 도움이 안될 건 없잖아 적게 먹는 것보다는"
"469","그래서 최대한 물을 많이 먹어 보려고 노력을 하는 편이기도 하구","그래서 최대한 물을 많이 먹어 보려고 노력을 하는 편이기도 하구"
"470","그르구 나는 다이어트랑 몸무게를 유지 할려고 하는 노력은 최대한 야식을 안 먹으려고 하고 있어.","그리고 나는 다이어트랑 몸무게를 유지 하려고 하는 노력은 최대한 야식을 안 먹으려고 하고 있어."
"471","그래야지 건강에도 오히려 좋을 것 같고 살에도 훨씬 더 도움이 많이 될 것 같애서","그래야지 건강에도 오히려 좋을 것 같고 살에도 훨씬 더 도움이 많이 될 것 같아서"
"472","진짜 밤 늦게 배고프면은 최대한 ((그냥)) 물 배를 채우려고 하던가","진짜 밤 늦게 배고프면은 최대한 ((그냥)) 물 배를 채우려고 하던가"
"473","웬만하면 내가 야식을 배고파서 먹는 게 아니라 갑자기 끌려 가주구 먹고 싶어하는 경향이 있단 말여.","웬만하면 내가 야식을 배고파서 먹는 게 아니라 갑자기 끌려 가지고 먹고 싶어하는 경향이 있단 말이야."
"474","그래서 어띃게든 참아 보려고 ((그냥)) 잠을 자던가 아니면은 껌을 씹던가 이렇게로 대체하는 편인 거","그래서 어떻게든 참아 보려고 ((그냥)) 잠을 자던가 아니면은 껌을 씹던가 이렇게로 대체하는 편인 거"
"475","사람들이 다이어트를 한다고 원푸드 다이어트 같은 것도 하는 하잖아.","사람들이 다이어트를 한다고 원푸드 다이어트 같은 것도 하는 하잖아."
"476","근데 내가 원푸드 다이어트는 해 본 적이 없지만","근데 내가 원푸드 다이어트는 해 본 적이 없지만"
"477","중학교 땐가 너무 살을 빼고 싶어서 진짜 한 일 주일간 굶어본 적 있단 말이야.","중학교 땐가 너무 살을 빼고 싶어서 진짜 한 일 주일간 굶어본 적 있단 말이야."
"478","진짜 지금 생각해 보면 쫌 바보 같은 생각이었는데 난중에 되니까 내가","진짜 지금 생각해 보면 조금 바보 같은 생각이었는데 나중에 되니까 내가"
"479","어~ 위염도 걸리구 약간 건강상으로 안 좋아지기도 해 가주구","어~ 위염도 걸리구 약간 건강상으로 안 좋아지기도 해 가지고"
"480","약간 근 진짜 비추천 하는 거","약간 그건 진짜 비추천 하는 거"
"481","사람들이 왜 굶어서 다이어트 하면 진짜 나중에 안 좋다 안 좋다 그때는 진짜 몰랐는데","사람들이 왜 굶어서 다이어트 하면 진짜 나중에 안 좋다 안 좋다 그때는 진짜 몰랐는데"
"482","지금 보니까 어~ 인제 나중에 뭐~ 위도 안 좋아지고","지금 보니까 어~ 인제 나중에 뭐~ 위도 안 좋아지고"
"483","약간 식습삼도 안 좋아지는 걸로 봐서는 진짜 굶어서 하는 다이어트는 안 좋은 거 같아.","약간 식습삼도 안 좋아지는 걸로 봐서는 진짜 굶어서 하는 다이어트는 안 좋은 거 같아."
"484","나는 하루에 건강 관리를 위해서 요즘 하고 있는 게 있는데","나는 하루에 건강 관리를 위해서 요즘 하고 있는 게 있는데"
"485","아침에 어~ 공복에 따뜻한 물 한 잔은 꼭 마시는 편이야.","아침에 어~ 공복에 따뜻한 물 한 잔은 꼭 마시는 편이야."
"486","왜냐면은 내가 쫌 다이어트를 하다 보면은 변이 쫌 안 나오잖나?","왜냐하면은 내가 조금 다이어트를 하다 보면은 변이 조금 안 나오잖나?"
"487","근데 어~ 따뜻한 물을 공복에 한 잔 마시면","근데 어~ 따뜻한 물을 공복에 한 잔 마시면"
"488","어~ 진짜 약간 뭔가 소화 ((x도)) 잘 되고","어~ 진짜 약간 뭔가 소화 ((x도)) 잘 되고"
"489","그리구 요즘 겨울이라서 건조한디 물 따 물을 자주 섭취해야 (())","그리구 요즘 겨울이라서 건조한데 물 따 물을 자주 섭취해야 (())"
"490","그래 가주구 따뜻한 물을 한 잔 마시면 좋더라구","그래 가지고 따뜻한 물을 한 잔 마시면 좋더라구"
"491","나도 너가 말한 거처럼 공복에 따뜻한 물 한 번 도전해 봐야겠어.","나도 너가 말한 거처럼 공복에 따뜻한 물 한 번 도전해 봐야겠어."
"492","난 내가 건강을 위해서 딱히 하는 게 진짜 전혀 없단 말여.","난 내가 건강을 위해서 딱히 하는 게 진짜 전혀 없단 말이야."
"493","오히려 건강에 안 좋은 습관만 갖고 있다면은","오히려 건강에 안 좋은 습관만 갖고 있다면은"
"494","밥보다는 라면으로 어띃게든 끼니를 때우려고 하는 편이고","밥보다는 라면으로 어떻게든 끼니를 때우려고 하는 편이고"
"495","그리고 몸에 좋지 않은 자세나 물도 진짜 잘 안 먹기 때문에","그리고 몸에 좋지 않은 자세나 물도 진짜 잘 안 먹기 때문에"
"496","너가 중간 중간에 알려주는 그런 꿀팁으로 한 번","너가 중간 중간에 알려주는 그런 꿀팁으로 한 번"
"497","왜냐면 엄청 큰 노력이 아니잖어.","왜냐하면 엄청 큰 노력이 아니잖어."
"498","아침부터 달리기 하고 오는 것도 아니고 물 한 잔이니까","아침부터 달리기 하고 오는 것도 아니고 물 한 잔이니까"
"499","나도 한 번 도전해 보는데 괜찮을 것 같 도전해 보는데 괜찮을 것 같애.","나도 한 번 도전해 보는데 괜찮을 것 같 도전해 보는데 괜찮을 것 같아."
"500","그리고 다이어트를 하는데 약을 사용하시는 사람들 있잖아.","그리고 다이어트를 하는데 약을 사용하시는 사람들 있잖아."
"501","너는 그 약을 어띃게 어띃게 생각해?","너는 그 약을 어떻게 어떻게 생각해?"
"502","근데 나는 약으로 뺄 살이면은 그냥 노력해서 빼겠다 라는 마인드거든","근데 나는 약으로 뺄 살이면은 그냥 노력해서 빼겠다 라는 마인드거든"
"503","왜냐면은 약이 굉장히 비싸.","왜냐하면은 약이 굉장히 비싸."
"504","한 달 분에 막 오만 원 하고 나는 그 오만 원을 쓸 바에는","한 달 분에 막 오만 원 하고 나는 그 오만 원을 쓸 바에는"
"505","그 식단으로 막 더 맛있는 샐러드를 사던지 이렇게 하는 편인데","그 식단으로 막 더 맛있는 샐러드를 사던지 이렇게 하는 편인데"
"506","어~ 너는 그~ 다이어트 할 때 뭔가 식단 관리는 어떻게 하는 편이야?","어~ 너는 그~ 다이어트 할 때 뭔가 식단 관리는 어떻게 하는 편이야?"
"507","나는 내가 채소를 별로 안 좋아하는 편이기 때문에","나는 내가 채소를 별로 안 좋아하는 편이기 때문에"
"508","고기 대신 샐러드를 먹는 적은 먹은 적은 없었어.","고기 대신 샐러드를 먹는 적은 먹은 적은 없었어."
"509","그래서 오히려 차라리 진짜 (()) 고칼로리 엄청 칼로리가 높은","그래서 오히려 차라리 진짜 (()) 고칼로리 엄청 칼로리가 높은"
"510","떡볶이나 피자 치킨 이런 걸 최대한 안 먹으 안 먹고 그냥 차라리","떡볶이나 피자 치킨 이런 걸 최대한 안 먹으 안 먹고 그냥 차라리"
"511","엄마가 해 주는 그냥 밥이라도 먹으려고 했던 편이었던 거 같아.","엄마가 해 주는 그냥 밥이라도 먹으려고 했던 편이었던 거 같아."
"512","그래야지 평소에 먹었던 그 많은 칼로리가 그나마 확 줄어들었어 가지고","그래야지 평소에 먹었던 그 많은 칼로리가 그나마 확 줄어들었어 가지고"
"513","그렇게 엄청 많이 먹었던 그 칼로리들을 쭐일려고 샐러드를 먹진 않았어.","그렇게 엄청 많이 먹었던 그 칼로리들을 줄이려고 샐러드를 먹진 않았어."
"514","그래서 오히려 밥을 많이 먹었던 거 같아.","그래서 오히려 밥을 많이 먹었던 거 같아."
"515","요새 환경 문제도 그릏고 약간 동물에 대한 인식이 쫌 더 개선되는","요새 환경 문제도 그렇고 약간 동물에 대한 인식이 조금 더 개선되는"
"516","개선되고 있어서 비건을 약간 비건이 약간 요즘 뜨고 있잖어?","개선되고 있어서 비건을 약간 비건이 약간 요즘 뜨고 있잖어?"
"517","나는 나는 그~ 어떤 ((비건x)) 동 고기에 대한 다큐를 본 적이 있는데","나는 나는 그~ 어떤 ((비건x)) 동 고기에 대한 다큐를 본 적이 있는데"
"518","고기를 키우는 데 생산되는 그런","고기를 키우는 데 생산되는 그런"
"519","어~ 사용되는 그런 지구 온난화적인 그런 문제라던지","어~ 사용되는 그런 지구 온난화적인 그런 문제라던지"
"520","그런 것 때문에 비건을 쫌 -하- 하고자 노력하고 있는데","그런 것 때문에 비건을 조금 -하- 하고자 노력하고 있는데"
"521","어~ 나는 그 중에서 고기라도 유제품은 못 줄이더라도 고기 제품은 쫌 줄이려고 노력하고 있어.","어~ 나는 그 중에서 고기라도 유제품은 못 줄이더라도 고기 제품은 조금 줄이려고 노력하고 있어."
"522","나도 요즘 뉴스 그~ 기사 같은 거 보면은 비건에 대한 얘기가 나와 가지고","나도 요즘 뉴스 그~ 기사 같은 거 보면은 비건에 대한 얘기가 나와 가지고"
