"","jeju","seoul"
"563","자기 좀 막 살려주랜 죽여주랜 해신가 살려주랜해신가","자기 좀 막 살려주라고 죽여주라고 했나 살려주라고 했나"
"564","너무 아파부난","너무 아파부난"
"565","서울대학병원이가니까 대상포진이 뇌로 ((왔다고))","서울대학병원이가니까 대상포진이 뇌로 ((왔다고))"
"566","와 그거 뇌로도 옵니까","와 그거 뇌로도 옵니까"
"567","뇌로도 와 겐디","뇌로도 와 겐디"
"568","그냥 사람 영 몸에 영 물집생기고 수포 이런데뭐 엉덩이 이런데","그냥 사람 이렇게 몸에 이렇게 물집생기고 수포 이런데뭐 엉덩이 이런데"
"569","겹쳐지는데 한댄 하잖아 이","겹쳐지는데 한댄 하잖아 #이"
"570","그런데 그게 얼굴이나 눈 눈에 오면 실명되고 이","그런데 그게 얼굴이나 눈 눈에 오면 실명되고 #이"
"571","뇌로 뇌로 와가지고","뇌로 뇌로 와가지고"
"572","막","막"
"573","안면 마비되고 막 해놨대","안면 마비되고 막 해놨대"
"574","지금은 싹 고쳐지 한의원 댕기고","지금은 싹 고쳐지 한의원 다니고"
"575","막 고생해성게","막 고생했대요"
"576","가이는 빨리 고친거라 잘 발견","걔는 빨리 고친거라 잘 발견"
"577","그나마 다행이다","그나마 다행이다"
"578","너무 아픈 우리 신랑은 딱 여기 생기니까 대상포진이라고 생각 행 바로 갔거든","너무 아픈 우리 신랑은 딱 여기 생기니까 대상포진이라고 생각 해서 바로 갔거든"
"579","게난 완전 초기라 네시간만에 간 바로 달려간","그러니까 완전 초기라 네시간만에 가서 바로 달려가서"
"580","응 다행이다예","응 다행이네요"
"581","삼일만에 나았거든 약은 일주일 먹으랜 행게","삼일만에 나았거든 약은 일주일 먹으라고 하더니"
"582","게난 봥 나도 겁난 대상포진 주사 맞았지","그러니까 봐서 나도 겁나서 대상포진 주사 맞았지"
"583","아방도 걸려나도 주사 맞으랜","아빠도 걸려나도 주사 맞으래"
"584","그거는 또 주기적으로 그것도 맞아야 되는거","그거는 또 주기적으로 그것도 맞아야 되는거"
"585","아니","아니"
"586","한 번만 응","한 번만 응"
"587","홍역 고추룩","홍역 같이"
"588","그다음에 뭐또 맞으랜해나만은","그다음에 뭐또 맞으라고 했었는데"
"589","자궁경부암?","자궁경부암?"
"590","그건 어린아이나","그건 어린아이나"
"591","우린 안맞아도 되는구나","우린 안맞아도 되는구나"
"592","아무튼","아무튼"
"593","(())","(())"
"594","폐렴","폐렴"
"595","(())균","(())균"
"596","그거 맞으랜 해라","그거 맞으라고 하더라"
"597","그 나이 들면","그 나이 들면"
"598","인구보건협회에서","인구보건협회에서"
"599","폐렴 그것 때문에 폐구균 하면","폐렴 그것 때문에 폐구균 하면"
"600","좀 덜한댄예 근데 어른들 나이들엉","좀 덜한대요 근데 어른들 나이들고"
"601","폐렴 걸리면 거의 돌아가신다고","폐렴 걸리면 거의 돌아가신다고"
"602","어른들 맞아도되?","어른들 맞아도되?"
"603","그거는 상관어실거 같아마씨 폐구균","그거는 상관없을것 같아요 폐구균"
"604","근데","근데"
"605","너무 고령이고 그 견디지 못할","너무 고령이고 그 견디지 못할"
"606","뭐면 안되고 건강하신 분은 맞아도 되는걸로 알고 있거든마씨","뭐면 안되고 건강하신 분은 맞아도 되는걸로 알고 있거든요"
"607","옛날에 우리 친구 시어머니가 그","옛날에 우리 친구 시어머니가 그"
"608","폐렴예 아침에예 아파그네 폐렴으로 입원을 해","폐렴예 아침에예 아파서 폐렴으로 입원을 해"
"609","생신때 돌아가셔","생신때 돌아가셔"
"610","어른들은 갑자기","어른들은 갑자기"
"611","그러니까 노인들이 그런 게 많아서","그러니까 노인들이 그런 게 많아서"
"612","그것 때문에 폐구균 그거 하라고 얘기 듣기는 했거든예","그것 때문에 폐구균 그거 하라고 얘기 듣기는 했거든요"
"613","그건 한 번만 맞으면","그건 한 번만 맞으면"
"614","그것도 몰라마씨난","그것도 몰라마씨난"
"615","그런건 잘 몰라","그런건 잘 몰라"
"616","그거하고 대상포진 꼼꼼 (())","그거하고 대상포진 꼼꼼 (())"
"617","아무튼","아무튼"
"618","게난 주말마다","그러니까 주말마다"
"619","너무 좋을 거 같애","너무 좋을 거 같애"
"620","오늘 뭐 어저께도 못가고 오늘도 못가고 하면좀","오늘 뭐 어저께도 못가고 오늘도 못가고 하면좀"
"621","한동안 저지 학교 운동장 계속 돌았거든요 괜히 빼지지안행","한동안 저지 학교 운동장 계속 돌았거든요 괜히 빠지지않고"
"622","그게 한순간에 안 빠진덴마씨","그게 한순간에 안 안빠진데요"
"623","나 안 빠져도 좋아 그냥 근육 생기게 할라고","나 안 빠져도 좋아 그냥 근육 생기게 할라고"
"624","게면 자꾸 걸어서","그러면 자꾸 걸어서"
"625","아이들 가부난 나를 또 이끌어 줄 사람이어서","아이들 가버리니까 나를 또 이끌어 줄 사람이어서"
"626","근력 운동을예 언니는예","근력 운동을요 언니는요"
"627","그 헬스 같은데 강 해야될 것 닮아 우리 이제 나이 들면","그 헬스 같은데 가서 해야될 것 같아 우리 이제 나이 들면"
"628","혼자 서는 예 그걸로 안되게 그난 자전거 타랜한거","혼자 서는 예 그걸로 안되게 그난 자전거 타라고 한거"
"629","의사와 자전거타~","의사와 자전거타~"
"630","내가 물어봔 헬스 같은디 당분간 다니지 사개월 이땅 다닐까","내가 물어봤어 헬스 같은데 당분간 다니지 사개월 이따가다닐까"
"631","사개월이땅 어디 댕기지","사개원이따 어디 댕기지"
"632","요가 요가","요가 요가"
"633","근로자 센타예","근로자 센타예"
"634","거기도 핼스있나","거기도 핼스있나"
"635","무료","무료"
"636","아들을 못 하네","아들을 못 하네"
"637","응?","응?"
"638","나대로?","나대로?"
"639","아 혼자 그냥 기기가정 하면되 러닝 머신도 이시난 러닝머신도","아 혼자 그냥 기기가정 하면되 러닝 머신도 있으니까 러닝머신도"
"640","비믄 강으네 속도 맞췅 걸어도되고 뛰어도 되고","비면 가서 속도 마춰서 걸어도되고 뛰어도 되고"
"641","거기 자전거도 이시난 자전거도 타도 되고","거기 자전거도 이시난 자전거도 타도 되고"
"642","거기 베라벨거 다 이서마씨 허리영 지지직 해주는것도","거기 별거별거 다 있어요 허리이렇게 지지직 해주는것도"
"643","가봔?","가봤어?"
"644","응 나 거기 한동안 열심히 다녀수게","응 나 거기 한동안 열심히 다녀수게"
"645","거기 열심히 다녕 맨날 아파트 올라갈 때도","거기 열심히 다녀서 맨날 아파트 올라갈 때도"
"646","우리 집까지 걸어가고 막 겅행 결국엔 난 이","우리 집까지 걸어가고 막 그래서 결국엔 난 이"
"647","왼쪽 무릎 인대가 찢어져부런 겅해가지고","왼쪽 무릎 인대가 찢어져부런 그래가지고"
"648","그거","그거"
"649","운동을 안 하당","운동을 안 하당"
"650","나가 운동을 열심히","나가 운동을 열심히"
"651","그거를 하니까 무리가완","그거를 하니까 무리가왔어"
"652","무리가 가지고","무리가 가지고"
"653","그런데 의사 선생님이 나한테 그 얘기하는거 아니예","그런데 의사 선생님이 나한테 그 얘기하는거 아니에요"
"654","모든 사람이 다 -건- 계단 올라가고 뭐 이런게 다 맞는 건 아니래","모든 사람이 다 -건- 계단 올라가고 뭐 이런게 다 맞는 건 아니래"
"655","게난 나는 이거 너 겅해그네 겅했댄허믄 너는 걷는 거 안 맞으난","그러니까 나는 이거 너 그래서 그랬다고 함녀 너는 걷는 거 안 맞으니가"
"656","가그네 수영이나 하랜 허멍","가그네 수영이나 하랜 하면서"
"657","헤엄치기 그거 하랜합디다 나한테","헤엄치기 그거 하라고하더라고요 나한테"
"658","너 몇 살이고?","너 몇 살이고?"
"659","나 이제","나 이제"
"660","퇴행성 왔댄안해냐?","퇴행성 왔다고 하지 않았어?"
"661","응?","응?"
"662","퇴행성 얘기는 안 하셨는데 이것저것 그 여기 그때 여기 띵띵 부언얘 진짜얘","퇴행성 얘기는 안 하셨는데 이것저것 그 여기 그때 여기 띵띵 부어서요 진짜요"
"663","부어가지고","부어가지고"
"664","주사도 맞고?","주사도 맞고?"
"665","저 뭐지 -어 찜쪄- 물리치료","저 뭐지 -어 찜쪄- 물리치료"
"666","며칠 동안 받고 뭐하고 하니까 이거 가라앉고 저번 다음부터는","며칠 동안 받고 뭐하고 하니까 이거 가라앉고 저번 다음부터는"
"667","주사도 맞아난 무릎에","주사도 맞아난 무릎에"
"668","무릎주사? 관절주산 안맞안 무릎에","무릎주사? 관절주산 안맞았어 무릎에"
"669","나 맞아난 난막 띵띵 부어난","나 맞아난 난막 띵띵 부었었어"
"670","그냥 이거 하면 염증 생기카부댄","그냥 이거 하면 염증 생길까봐"
"671","물도 빼나고 물도막 물고연","물도 빼나고 물도막 물고였어"
"672","아니 약물로예 난 그때 약물로 이거 물 고인거 말르게 하고","아니 약물로요 난 그때 약물로 이거 물 고인거 말르게 하고"
"673","막 겅","막 그렇게"
"674","나한텐","나한텐"
"675","뭐하랜핸 사우나 강","뭐하라고했어요 사우나 가서"
"676","산속에 강 걷거나","산속에 가서 걷거나"
"677","수영가랜","수영가라고"
"678","기니까 수연가랜","그니까 수영가라고"
"679","겡 수영복이영","그래서 수영복이랑"
"680","다샀잖아 물안경도 도수다 놓고 행","다샀잖아 물안경도 도수다 놓고 해서"
"681","갱 가수과","그래서 갔어요?"
"682","몇 번 갔지","몇 번 갔지"
"683","어디 간?","어디 갔어요?"
"684","&address1&","&address1&"
"685","국민생활체육관?","국민생활체육관?"
"686","소금물","소금물"
"687","아이휴","아이휴"
"688","안짭디가 소금물","안짰어요 소금물"
"689","글쌔 먹는것도 아니고","글쌔 먹는것도 아니고"
"690","아니 먹는 건 아닌데","아니 먹는 건 아닌데"
"691","&address1& &address2&","&address1& &address2&"
"692","왜 또 푸하푸하 하멍","왜 또 푸하푸하 함녀서"
"693","이 입에 물이 닿잖아마씨","이 입에 물이 닿잖아요"
"694","나가 수영을 못해","나가 수영을 못해"
"695","헐줄 알아?","헐줄 알아?"
"696","나는 할 줄 알아","나는 할 줄 알아"
"697","수영을 못하니깐 그냥 걸어 본 댕기는 것도 재미요소는","수영을 못하니깐 그냥 걸어 본 댕기는 것도 재미요소는"
"698","여기도 두 실내 수영장 거기","여기도 두 실내 수영장 거기"
"699","가그네 강습이영","가서 강습니랑"
"700","요기도 이서 요기 집앞에","요기도 있어 요기 집앞에"
"701","여기 앞에예거기는 나 잘 모르겠는데 그 &address3& 실내수영장은 좋댄합디다","여기 여기 앞에요거기는 나 잘 모르겠는데 그 &address3& 실내수영장은 좋다고하더라고요"
"702","사람들이 전부다","사람들이 전부다"
"703","그렇지","그렇지"
"704","아무튼 근데 나이 점점 들어지면 관절에 무리가 안 가고","아무튼 근데 나이 점점 들어지면 관절에 무리가 안 가고"
"705","제일 이 근력 운동도 그러니까 전신 유산소 운동 전신운동 이게 수영이라마씨","제일 이 근력 운동도 그러니까 전신 유산소 운동 전신운동 이게 수영이에요"
"706","해야 돼요","해야 돼요"
"707","코로나 때문에 문 닫고","코로나 때문에 문 닫고"
"708","아 그렇긴 하지","아 그렇긴 하지"
"709","저기가 위험하잖아","저기가 위험하잖아"
"710","게난 새벽에 갔다와야지 새벽에 사람 별로 없을 때 강습반","그러니까 새벽에 갔다와야지 새벽에 사람 별로 없을 때 강습반"
"711","그렇지","그렇지"
"712","이제 나성 갑서게","이제 나서서 가세요"
"713","무서웡 하면예 뭐하나예못해여","무서워 하면요 뭐하나요못해"
"714","실펑못감서","귀찮아서 못가고있어"
"715","게난","그러니까"
"716","어떵하꺼과에","어떻게할까요"
"717","게을러지면 안돼 이제 게민 우리관에 들어가야 돼","게을러지면 안돼 이제 게민 우리관에 들어가야 돼"
"718","근력도 어서지고","근력도 어서지고"
"719","만약 근력 어떵 좀 키워~ 근력은 운동하면 생겨 이","만약 근력 어떻게 좀 키워~ 근력은 운동하면 생겨 #이"
"720","근육은 계속 자극을 주면","근육은 계속 자극을 주면"
"721","생기는 거라이 지금 없어도 이","생기는 거지 지금 없어도 #이"
"722","이거 이것도 하고 이런것도 하고","이거 이것도 하고 이런것도 하고"
"723","영 복근 영해그네 힘줭 영막","이렇게 복근 이렇게해서 힘줘서 이렇게 막"
"724","드는 이것도 이것도 막 들렁 영 잇고","드는 이것도 이것도 막 들어서 이렇게 잇고"
"725","의자에 앉앙도 하고","의자에 않아서도 하고"
"726","게민 혼자 집에서 스트레칭 합서 요가매트 해그네","그럼 혼자 집에서 스트레칭 하세요 요가매트 해그네"
"727","요가도 근격생겨 이","요가도 근격생겨 #이"
"728","요가는 근육이 굳지 않게 유연하게 해주는거 아닌가","요가는 근육이 굳지 않게 유연하게 해주는거 아닌가"
"729","근력 생기는 것까지는 요가는 잘 모르쿠다만은","근력 생기는 것까지는 요가는 잘 모르겠지만요"
"730","필라테스는","필라테스는"
"731","필라테스는 아마 그것도 생기지 않을까","필라테스는 아마 그것도 생기지 않을까"
"732","그것도 생기지 않을까 그것도 그건 생기지 않을까","그것도 생기지 않을까 그것도 그건 생기지 않을까"
"733","요가는 어쨌든 유연성이 뭐야 그것도 생기겠다 다생길거 닮수다","요가는 어쨌든 유연성이 뭐야 그것도 생기겠다 다생길거 같아요"
"734","{laughing}","{laughing}"
"735","아이","아이"
"736","제 우리 관심분야가 이제는","제 우리 관심분야가 이제는"
"737","건강","건강"
"738","건강","건강"
"739","순간 나이 들수록 건강해야 행복하게 살 수 있는","순간 나이 들수록 건강해야 행복하게 살 수 있는"
"740","삶의 질이 높아지긴 해여","삶의 질이 높아지긴 해여"
"741","건강해야 건강한 건강이 제일 첫번째 나이 들면 젊었을 몰랐당","건강해야 건강한 건강이 제일 첫번째 나이 들면 젊었을 몰랐다가"
"742","너무 자만했당예","너무 자만했당예"
"743","그러니까 그것도 젊었을 때 우리가 건강하니까 젊을 때부터 아픈 사람들을 (겅안해여)/()그렇게 않해","그러니까 그것도 젊었을 때 우리가 건강하니까 젊을 때부터 아픈 사람들을 (겅안해여)/()그렇게 않해"
"744","젊었을 때 아팠던 사람들은 확실히 틀려 개고 또 그","젊었을 때 아팠던 사람들은 확실히 틀려 그리고 또 그"
"745","그 뭐 이게 무슨 암이우가 편도선같이 생긴","그 뭐 이게 무슨 암이우가 편도선같이 생긴"
"746","갑상선","갑상선"
"747","갑상선 암이나 뭐 이런 유방암 이렇게 걸렸다가","갑상선 암이나 뭐 이런 유방암 이렇게 걸렸다가"
"748","왜 그 치료 계속 해 가지고 꾸준히 뭐한","왜 그 치료 계속 해 가지고 꾸준히 뭐한"
"749","사람들 보면예 한번 정말 죽었다가","사람들 보면요 한번 정말 죽었다가"
"750","살아난 그런 목숨 잃은 생각해 가지고 정말 열심히","살아난 그런 목숨 잃은 생각해 가지고 정말 열심히"
"751","그리고 정말 건강하게","그리고 정말 건강하게"
"752","그게 최고의 목표라마씨 돈도 필요 없고 다 필요 없다","그게 최고의 목표에요 돈도 필요 없고 다 필요 없다"
"753","나 주변에 그런 사람","나 주변에 그런 사람"
"754","나한테 말해주니까 너 지금 당장 돈이 최고일거 같지 전혀 아니여 하멍그네","나한테 말해주니까 너 지금 당장 돈이 최고일거 같지 전혀 아니야 하면서"
"755","겐디 나는 기라이 막 겅허멍도 마음은 마음은 또 삶에 급급해그네","그런데 나는 그래 막 그렇게 하면서도 마음은 마음은 또 삶에 급급해서"
"756","아니 머리론 알아","아니 머리론 알아"
"757","게난이 지가 당해보지 않으믄예 사람은예","그러니까 지가 당해보지 않으면요 사람은요"
"758","언니 너무","언니 너무"
"759","{laughing}","{laughing}"
"760","하루종일","하루종일"
"761","나 옛날에 제주도 한 바퀴도 걸엉댕겼져","나 옛날에 제주도 한 바퀴도 걸어다녔다"
"762","걸었다고마씨?","걸엇다고요?"
"763","(())","(())"
"764","일요일마다","일요일마다"
"765","헐","헐"
"766","우리 족은 아들이영","우리 족은 아들이랑"
"767","어떵 걸어서?","어떻게 걸었어?"
"768","걸어서","걸었어"
"769","아니 지쳐그네","아니 지처서"
"770","아침 일곱 시부터 한 열한시까지 걸어 열한 시 열두 시 게민 ","아침 일곱 시부터 한 열한시까지 걸어 열한 시 열두 시 그러면"
"771","밥 먹어 헤어져 버스가 와","밥 먹어 헤어져 버스가 와"
"772","터미널에서 만나 우리가 터미널에서","터미널에서 만나 우리가 터미널에서"
"773","그 저 저번에까지 건대 거기세왕","그 저 저번에까지 건대 거기 세워서"
"774","우리 세워주면 거기서도 또 얼마큼 걸어","우리 세워주면 거기서도 또 얼마큼 걸어"
"775","거기서 한 사","거기서 한 사"
"776","걸어놓은 버스가 와 다 끝나면 또 돌아와 한 바퀴 돌았습니다","걸어놓은 버스가 와 다 끝나면 또 돌아와 한 바퀴 돌았습니다"
"777","이제는얘  너무 많이 걸으면 나는얘","이제는요 너무 많이 걸으면 나는요"
"778","근데 허리가 아파","근데 허리가 아파"
"779","아스팔트 흙길","아스팔트 흙길"
"780","바닷길이 돌멩 다 걸어봤거든","바닷길이 돌멩 다 걸어봤거든"
"781","아스팔드 길이 너무 지쳐","아스팔드 길이 너무 지쳐"
"782","힘들어예","힘들어요"
"783","한 번은 여름에 칠 월말에 그뙤약볖에 걸었거든","한 번은 여름에 칠 월말에 그뙤약볖에 걸었거든"
"784","일사병이 뭔지 알아 지크라라","일사병이 뭔지 알아 지겠더라고"
"785","그냥 영","그냥 이렇게"
"786","기라","맞아요"
"787","그러니까 막 뭐 초코렛 같은 걸 꺼냉","그러니까 막 뭐 초코렛 같은 걸 꺼냉"
"788","막 먹고 당 충전해얘","막 먹고 당 충전해요"
"789","맞아","맞아"
"790","겡 지는 아스팔트에 그냥 드러누워부런 나 옆에서막 누워라","그래서 지는 아스팔트에 그냥 드러누워버려 나 옆에서막 누워라"
"791","한 백명이 가거든","한 백명이 가거든"
"792","아니 그때는예 너무 걸으면 안되어 너무 겅 더울땐 죽는거라","아니 그때는요 너무 걸으면 안되어 너무 그렇게 더울땐 죽는거라"
"793","두세 시간도 걸어서","두세 시간도 걸어서"
"794","더울땐","더울땐"
"795","겨울에 그 추운 데도 걷고 비 쫙 쫙 오는데도 비맞으멍 걷고","겨울에 그 추운 데도 걷고 비 쫙 쫙 오는데도 비맞으면서 걷고"
"796","일 년은 걸어서","일 년은 걸었어"
"797","이제 지금도 걸읍서게","이제 지금도 걸으세요"
"798","제주도 올레길도 걷고","제주도 올레길도 걷고"
"799","오름도 걷고","오름도 걷고"
"800","이제 발 나스면 겅해여","이제 발 나으면 그렇게 해요"
"801","걷긴 걸어나신디이","걷긴 걸었었는데"
"802","아니","아니"
"803","그런데 했당도 안걸으면 근육이 다 빠져불잖아이","그런데 했다가도 안걸으면 근육이 다 빠져버리잖아이"
"804","그렇기는 한데 경해도 걸으믄예 걸어져 또","그렇기는 한데 그래도 걸으면요 걸어져 또"
"805","나걷긴 해져","나걷긴 해져"
"806","어 수목원도 강 그","어 수목원도 가서 그"
"807","계속 걷고","계속 걷고"
"808","나도 나 그 일 다니는데","나도 나 그 일 다니는데"
"809","거기 옆에가 바로 신산공원 이서마씨 점심 도시락 싸가거든예","거기 옆에가 바로 신산공원 있어요 점심 도시락 싸가거든요"
"810","도시락 먹고","도시락 먹고"
"811","시간이","시간이"
"812","도시락은","도시락은"
"813","어디 돌아다니지 않는 한 금방 그 안에서 먹는거니까 이십 분이면 먹잖아예","어디 돌아다니지 않는 한 금방 그 안에서 먹는거니까 이십 분이면 먹잖아요"
"814","게면 한시간이니깐 가그네 거기 한 바퀴 이십분(돌아마씨)/(돌아요)","그러면 한시간이니깐 가서 거기 한 바퀴 이십분(돌아마씨)/(돌아요)"
"815","난 무사 회사 다닐떄 그생각을 안햄신고 (()) 말만곧잰했주","난 왜 회사 다닐떄 그생각을 안했을까 (()) 말만할려고했지"
"816","다들 겅했주마씨 그땐","다들 그랬죠 그땐"
"817","아유 그시간이 생각하면 추억도 하나도 어신디","아유 그시간이 생각하면 추억도 하나도 없는데"
"818","근데예 그때예 우리예 걸을 대도 어서서마씨","근데요 그때요 우리요 걸을 대도 없었어요"
"819","교정 걸으면 됬주","교정 걸으면 됬지"
"820","그 뒤 쪽으로도 있잖아","그 뒤 쪽으로도 있잖아"
"821","게난 지금은 그 탄도 그 앞에 그 탐도 있는예 그기를  조성했잖아예","그러니까 지금은 그 탄도 그 앞에 그 탐도 있는요 거기를 조성했잖아요"
"822","이제는예 그런데 그때는 조성이 안됬잖아","이제는요 그런데 그때는 조성이 안됬잖아"
"823","2간호과 밑으로 숲있잖아","2간호과 밑으로 숲있잖아"
"824","게니까 그쪽으로 겅해그네 거기 근데 저기 뭐되부난 다리","그니까 그쪽으로 그래서 거기 근데 저기 뭐되버리니까 다리"
"825","저걸 보시오","저걸 보시오"
"826","@사업명 쪽으로 걸어가면","@사업명 쪽으로 걸어가면"
"827","나는 겐디 나중에는 한번씩 걸어서마씨","나는 그런데 나중에는 한번씩 걸었어요"
"828","(())","(())"
"829","난 거기 어떵행","난 거기 어떵행"
"830","잘도 한심하게 (())","잘도 한심하게 (())"
"831","겐디 어쨌든 어느 이제 직장 다른 데 가도 첨단 갔을 때도 첨단 했어도","겐디 어쨌든 어느 이제 직장 다른 데 가도 첨단 갔을 때도 첨단 했어도"
"832","거기도 밥먹으면 나랑 그 나이 비슷한 분( 이서그네)/(있어서)","거기도 밥먹으면 나랑 그 나이 비슷한 분( 이서그네)/(있어서)"
"833","둘이 거르겐 해그네 쭉그 첨단","둘이 거르겐 해그네 쭉그 첨단"
"834","그 사거리 가기 직전까지 거기 가면 바로 그 &address4& 랑그저","그 사거리 가기 직전까지 거기 가면 바로 그 &address4& 랑그저"
"835","어디로 다 나가거든요 지금 그 길","어디로 다 나가거든요 지금 그 길"
"836","거기 한번씩 왔다갔다 하고","거기 한번씩 왔다갔다 하고"
"837","한번씩 걷고","한번씩 걷고"
"838","시내","시내"
"839","왕은에 시내에서 마땅히 시청에서는 신산공원 가기가","와서 시내에서 마땅히 시청에서는 신산공원 가기가"
"840","그런데","그런데"
"841","나 있는 데는 바로 그 옆에라거나","나 있는 데는 바로 그 옆에라거나"
"842","그러니까 이렇게 크게 신상 공원 한 바퀴 돌거든예","그러니까 이렇게 크게 신상 공원 한 바퀴 돌거든예"
"843","이십분 딱 걸려 쪼끔 그 잰걸음으로","이십분 딱 걸려 쪼끔 그 잰걸음으로"
"844","잰걸음으로 걸어야","잰걸음으로 걸어야"
"845","계면","그러면"
"846","매일매일 걷는다 게민이","매일매일 걷는다 그러면"
"847","아니 매일매일은 아니고 왜냐하면 먹고 시간 날때는 걸을 수 있어도","아니 매일매일은 아니고 왜냐하면 먹고 시간 날때는 걸을 수 있어도"
"848","먹고 또 다른 일이 생기믄","먹고 또 다른 일이 생기믄"
"849","일해야되고","일해야되고"
"850","못걷고 저거 하니까 되도록이면 걸으려고 노력하주마씀","못걷고 저거 하니까 되도록이면 걸으려고 노력하주마씀"
"851","암튼 거기 근데 그 신산공원도 강보믄","암튼 거기 근데 그 신산공원도 가보면"
"852","아줌마 들 할머니들 햇빛 나와그네 일광욕처럼 하시는 분들도 있고","아줌마 들 할머니들 햇빛 나와그네 일광욕처럼 하시는 분들도 있고"
"853","벤치에 누워 그냥","벤치에 누워 그냥"
"854","애기들도 거기 하영 오고 점심때에","애기들도 거기 많이 오고 점심때에"
"855","거리 사람들의 또 직장인들도 엄청 많이 걸어마씨","거리 사람들의 또 직장인들도 엄청 많이 걸어요"
"856","그렇게 많이 걷는지 몰랐는데 엄청 많이 걸어마씨","그렇게 많이 걷는지 몰랐는데 엄청 많이 걸어요"
"857","근데 나 그 신산공원 걷는 거는","근데 나 그 신산공원 걷는 거는"
"858","예전에 그 고용복지센터에 있을 때부터 걸었주마씸 나","예전에 그 고용복지센터에 있을 때부터 걸었어요 나"
"859","그거는 이제","그거는 이제"
"860","일주일에 두번이든 세번이든 겅 걷고 해신디","일주일에 두번이든 세번이든 겅 걷고 했는데"
"861","이제 지금 옮긴 때는 되도록이면 일주일 다","이제 지금 옮긴 때는 되도록이면 일주일 다"
"862","십분이라도 하루 십분이라도 걸어보자 겅해가지고","십분이라도 하루 십분이라도 걸어보자 겅해가지고"
"863","그 수목원 거기는","그 수목원 거기는"
"864","아침에 가난?","아침에 갔었어?"
"865","수목원을","수목원을"
"866","그저 운동 하는데마씨?","그저 운동 하는데요?"
"867","거기 아침에 한 아홉 시나 열 시쯤","거기 아침에 한 아홉 시나 열 시쯤"
"868","네","네"
"869","아홉 시나 열시쯤 가면","아홉 시나 열시쯤 가면"
"870","어떨 때는 꽉 찰 때도 있고 어떨 때는 또 한글 할때도 있고","어떨 때는 꽉 찰 때도 있고 어떨 때는 또 한가 할때도 있고"
"871","대부분 이용자는","대부분 이용자는"
"872","그 주민들마시 다 그 동네 사람들","그 주민들요 다 그 동네 사람들"
"873","어른들?","어른들?"
"874","예","예"
"875","다 어른들 나이 드신 분들","다 어른들 나이 드신 분들"
"876","우리보다","우리보다"
"877","예","예"
"878","그래가지고예 완전에 좋은것들 많아마씨","그래가지고요 완전에 좋은것들 많아요"
"879","운동기구를 사용하는 방법도 가르쳐주맨?","운동기구를 사용하는 방법도 갈쳐줘?"
"880","거기에 그냥 아니 누가 있어서 가르쳐주지는 않애마씨","거기에 그냥 아니 누가 있어서 가르쳐주지는 않아요"
"881","보면 누가 이렇게 하는가를 보면 어떻게 하는게 뭔지 알아지는거지","보면 누가 이렇게 하는가를 보면 어떻게 하는게 뭔지 알아지는거지"
"882","겡 그거 보고","그래서 그거 보고"
"883","영 눈치다","이렇게 눈치다"
"884","다리 이렇게 하는 그 기구도 이서마씨","다리 이렇게 하는 그 기구도 있어요"
"885","그것도 있고 이 이 역기같이 생긴 거 막 이렇게 막 잡았다 뭐했다 하는거","그것도 있고 이 이 역기같이 생긴 거 막 이렇게 막 잡았다 뭐했다 하는거"
"886","별의별 걸 다 이서마씨","별의별 걸 다 있어요"
"887","그니깐 한시간 딱해와","그니깐 한시간 딱해와"
"888","거기 러닝머신에서 한","거기 러닝머신에서 한"
"889","이삼십분 뛰고","이삼십분 뛰고"
"890","그다음에 나는 자전거 별로 안 좋아하니깐 자전거는 안하고 이제","그다음에 나는 자전거 별로 안 좋아하니깐 자전거는 안하고 이제"
"891","그 이렇게 흔들흔들 하는 그예","그 이렇게 흔들흔들 하는 그요"
"892","저그냥","저그냥"
"893","뭐지근력 운동 같이 하는 거 이시난 그거 하고","뭐지근력 운동 같이 하는 거 이시난 그거 하고"
"894","그다음에 거기 몸을 일으키게 하는대 이시난","그다음에 거기 몸을 일으키게 하는대 있으니까"
"895","윗몸 일으키키 좀 하고 그렇게 하면 시간도 금방","윗몸 일으키키 좀 하고 그렇게 하면 시간도 금방"
"896","겡 집이강 싸우나 하고","그러고 집에가서 싸우나 하고"
"897","집이가그네 샤워하고","집이가그네 샤워하고"
"898","아니면 또 어떤 때는 거기 수목원","아니면 또 어떤 때는 거기 수목원"
"899","수목원 한번 갔다그네 갔다그네 오멍","수목원 한번 갔다그네 갔다그네 오멍"
"900","이제 러닝머신은 안하고 다른 거 하기도 하고","이제 러닝머신은 안하고 다른 거 하기도 하고"
"901","그밑에 커피숍도 있잖아 게난","그밑에 커피숍도 있잖아 그러니까"
"902","아지망들끼리 가믄 갔다오믄 커피숍","아지망들끼리 가면 갔다오면 커피숍"
"903","커피도 한잔 받고","커피도 한잔 받고"
"904","수다도 떨고","수다도 떨고"
"905","겅하면 완전조아","그렇게 하면 완전조아"
"906","어시간도 잘 가고","어시간도 잘 가고"
"907","난 겅 안해도 시간은 잘가","난 그렇게 안해도 시간은 잘가"
"908","시간 때우잰은 안가는디 아 이젠 생각은 해야겠다","시간 때우잰은 안가는디 아 이젠 생각은 해야겠다"
"909","하잰만 하믄예","하려고만 하면요"
"910","정말 할 게 많은디에","정말 할 게 많은데요"
